#Datastore of resort requests.
#If using snocountry.net API, it only needs resort ID.
#Retreiving resort IDs:
#http://feeds.snocountry.net/getResortList.php?apiKey=KEY_ID&states=co&resortType=alpine&output=json
#http://feeds.snocountry.net/getResortList.php?apiKey=SnoCountry.example&states=fra&resortType=alpine&output=json&intl=complete
#Geo coordinates are not used yet, but good to compile this metadata for future features, e.g. weather.
#Order matters here ;(
#For main menu, entries with more than two tokens (comma-delimited) means its a resort entry.
#A blank line will end parsing... 
#----------------------------------------------------
#Top results - Menu top ('top' of the resort menu, as opposed to the 'main' menu).
Top, Colorado
Top, California
Top, Utah
Top, Idaho & Montana & Wyoming
Top, Oregon & Washington
Top, New England
Top, Canadian Rockies
Top, Arizona & New Mexico
Top, Midwest
#Top, Europe
Top, Australia & New Zealand
#Top, Eldora CO, -105.5639, 39.9486, 303011
#Top, Vail CO, -106.3742, 39.640,303023
#Top, Squaw Valley CA,,,916011
#----------------------------------------------------
Colorado, Arapahoe Basin, -105.8717, 39.6423, 303001
Colorado, Aspen, -106.8175, 39.1911, 303003
Colorado, Aspen Highlands,,, 303004
Colorado, Beaver Creek,,,303005
Colorado, Breckenridge, -106.0384, 39.4817, 303007
Colorado, Buttermilk,,,303027
Colorado, Copper Mountain, -106.1516, 39.5014, 303009
Colorado, Crested Butte, -106.9878, 38.8697,303010
Colorado, Eldora, -105.5639, 39.9486, 303011
Colorado, Keystone, -105.9347, 39.5792,303014
Colorado, Loveland,,,303015
Colorado, Monarch Mountain,,,719002
#Colorado, Powderhorn Mountain,,,303016
#Colorado, Purgatory,,,303017
Colorado, Ski Cooper,,,719003
Colorado, Snowmass,,,303020
Colorado, Steamboat, -106.8317, 40.4850,303021
Colorado, Telluride, -107.8123, 37.9375,303022
Colorado, Winter Park, -105.7631, 39.8917, 303024
Colorado, Wolf Creek, -106.8021, 7.4827, 303025
#----------------------------------------------------
California, Alpine Meadows,,,916001
California, Heavenly,,, 916004
California, Kirkwood,,,209004
California, Mammoth Mountain,,,619002
California, Mt. Rose Ski Tahoe,,,702003
California, Northstar,,,916007
California, Squaw Valley,,,916011
California, Sugar Bowl,,,916012
#----------------------------------------------------
Utah, Alta,,,801001
Utah, Beaver Mountain,,,801002
Utah, Brighton,,,801003
Utah, Deer Valley,,,801004
Utah, Park City,,,801006
Utah, Snowbird,,,801010
Utah, Solitude Mountain,,,801011
Utah, Sundance,,,801012
#----------------------------------------------------
Idaho & Montana & Wyoming, Big Sky MT,,,406002
Idaho & Montana & Wyoming, Blacktail MT,,,406015
Idaho & Montana & Wyoming, Bridger Bowl MT,,,406003
Idaho & Montana & Wyoming, Grand Targhee WY,,,307002
Idaho & Montana & Wyoming, Great Divide MT,,,406005
Idaho & Montana & Wyoming, Jackson Hole WY,,,307008
Idaho & Montana & Wyoming, Magic Mountain ID,,,208005
Idaho & Montana & Wyoming, Maverick Mountain MT,,,406007
Idaho & Montana & Wyoming, Montana Snowbowl MT,,,406008
Idaho & Montana & Wyoming, Red Lodge MT,,,406009
Idaho & Montana & Wyoming, Silver Mountain ID,,,208009
Idaho & Montana & Wyoming, Snowy Range WY,,,307011
Idaho & Montana & Wyoming, Sun Valley ID,,,208012
Idaho & Montana & Wyoming, Tamarack Resort ID,,,208021
Idaho & Montana & Wyoming, Whitefish MT,,,406001
Idaho & Montana & Wyoming, White Pine WY,,,307016
#----------------------------------------------------
Oregon & Washington, Badger Mountain WA,,,509010
Oregon & Washington, Crystal Mountain WA,,,206002
Oregon & Washington, Hoodoo OR,,,503003
Oregon & Washington, Mt. Ashland OR,,,503008
Oregon & Washington, Mt Bachelor OR,,,503004
Oregon & Washington, Mt Baker WA,,,206003
Oregon & Washington, Mt Hood Meadows OR,,,503006
Oregon & Washington, Mt Hood Skibowl OR,,,503007
Oregon & Washington, Stevens Pass WA,,,206004
Oregon & Washington, Timberline Lodge OR,,,503009
Oregon & Washington, Whit3e Pass WA,,,509004
Oregon & Washington, Williamette Pass OR,,,503010
#----------------------------------------------------
Arizona & New Mexico, Angel Fire NM,,,505001
Arizona & New Mexico, Arizona Snowbowl AZ,,,602001
Arizona & New Mexico, Pajarito Mountain NM,,,505002
Arizona & New Mexico, Red River NM,,,505003
Arizona & New Mexico, Sandia Peak NM,,,505004
Arizona & New Mexico, Sipapu NM,,,505006
Arizona & New Mexico, Ski Apache NM,,,505007
Arizona & New Mexico, Ski Santa Fe NM,,,505005
Arizona & New Mexico, Sunrise Park AZ,,,602003
Arizona & New Mexico, Taos Ski Valley NM,,,505009
#----------------------------------------------------
#http://feeds.snocountry.net/getResortList.php?regions=canada&apiKey=SnoCountry.example&intl=complete
Canadian Rockies, Banff Sunshine Village,,,403022
Canadian Rockies, Fernie Alpine,,,604010
Canadian Rockies, Kicking Horse,,,250002
Canadian Rockies, Lake Louise Ski Resort,,,403008
Canadian Rockies, Mount Norquary,,,403001
Canadian Rockies, Revelstoke Mountain Resort,,,604021
Canadian Rockies, Whistler Blackcomb,,,604038
#----------------------------------------------------
New England, Bretton Woods NH,,,603005
New England, Cranmore Mountain NH,,,603007
New England, Loon Mountain Resort NH,,,603014
New England, Jay Peak VT,,,802006
New England, Killington Resort VT,,,802007
New England, Mad River Glen VT,,,802008
New England, Mount Sunapee NH,,,603017
New England, Stowe Mountain VT,,,802018
New England, Stratton VT,,,80219
New England, Sugarbush VT,,,802023
#----------------------------------------------------
Midwest, Afton Alps MN, -92.7907, 44.8545,612002
Midwest, Big Powderhorn Mountain WI,,,906001
Midwest, Boyne Mountain MI,,,616003
Midwest, Buckhill MN, -93.2873, 44.7231, 612004
Midwest, Hyland Hills MN,,,612006
Midwest, Lutsen Mountain MN,,,218003
Midwest, Spirit Mountain MN,,,612004
Midwest, Trollhaugen WI,,,715004
Midwest, Welsh Village MN,,,612008
Midwest, Whitecap Mountain WI,,,715005
Midwest, Wild Mountain MN,,,612009
#----------------------------------------------------
Europe, Alpe d'Huez FR,,,127
Europe, Andermatt SW,,,13002
Europe, Balderschwang GE, 8000067
Europe, Chamonix Mont-Blanc FR,,,333003
Europe, Davos SW,,,13006
Europe, Garmisch-Partenkirchen GE,,,444002
Europe, Grindelwald SW,,,13010
Europe, SkiWelt Wilder Kaiser Aus,,,222043
Europe, St Anton am Arlberg Aus,,,222021
Europe, St Moritz SW,,,13023
